watch,combination,risk,dist,samples,meanRSS,maxRSS,minRSS,rangeRSS
31,RL,1,100,7,-71.1428571428571,-68,-73,5
31,RL,1,100,4,-71,-68,-73,5
31,RL,1,100,6,-72.1666666666667,-71,-73,2
31,RL,0,100,2,-72.5,-72,-73,1
31,RL,0,100,1,-72,-72,-72,0
31,RL,1,100,3,-76.3333333333333,-73,-80,7
31,RL,1,100,5,-75.4,-72,-80,8
31,RL,1,100,4,-73.25,-68,-83,15
31,RL,1,100,10,-79.7,-76,-84,8
31,RL,0,100,1,-81,-81,-81,0
31,RL,1,100,4,-77.5,-75,-79,4
31,RL,1,100,3,-74.6666666666667,-70,-79,9
