watch,combination,risk,dist,samples,meanRSS,maxRSS,minRSS,rangeRSS
31,RL,1,50,9,-74.3333333333333,-70,-77,7
31,RL,1,50,3,-74,-73,-75,2
31,RL,1,50,4,-76.25,-74,-77,3
31,RL,1,50,5,-76.6,-76,-77,1
31,RL,1,50,7,-79,-76,-86,10
31,RL,1,50,4,-78,-76,-84,8
31,RL,1,50,3,-78.6666666666667,-76,-84,8
31,RL,1,50,5,-81.2,-78,-86,8
31,RL,1,50,8,-80.375,-78,-86,8
31,RL,1,50,5,-79,-78,-81,3
31,RL,0,50,2,-79,-79,-79,0
31,RL,1,50,6,-78.8333333333333,-73,-82,9
31,RL,1,50,5,-78.8,-73,-82,9
31,RL,1,50,7,-77.1428571428571,-73,-82,9
31,RL,0,50,1,-74,-74,-74,0
31,RL,1,50,8,-75.75,-74,-78,4
31,RL,1,50,7,-75.8571428571429,-74,-78,4
31,RL,1,50,9,-76.2222222222222,-74,-78,4
31,RL,1,50,3,-75.6666666666667,-74,-78,4
31,RL,1,50,9,-76.1111111111111,-74,-78,4
31,RL,1,50,8,-76.375,-75,-78,3
31,RL,1,50,9,-76.4444444444444,-75,-79,4
31,RL,0,50,1,-77,-77,-77,0
31,RL,1,50,7,-76.4285714285714,-75,-79,4
31,RL,1,50,9,-75.8888888888889,-72,-79,7
31,RL,1,50,3,-75,-75,-75,0
31,RL,1,50,3,-75.3333333333333,-75,-76,1
31,RL,1,50,9,-74.8888888888889,-72,-79,7
31,RL,1,50,8,-74.75,-72,-79,7
31,RL,0,50,2,-75.5,-72,-79,7
31,RL,1,50,7,-73.2857142857143,-72,-75,3
31,RL,1,50,10,-75.2,-72,-83,11
31,RL,1,50,6,-74.5,-72,-82,10
31,RL,1,50,4,-75,-72,-82,10
31,RL,1,50,4,-75.5,-73,-82,9
31,RL,0,50,2,-73.5,-73,-74,1
31,RL,1,50,9,-74.6666666666667,-72,-81,9
31,RL,1,50,4,-77.25,-72,-81,9
31,RL,1,50,10,-75.6,-72,-87,15
31,RL,1,50,6,-72,-72,-72,0
31,RL,1,50,3,-72,-72,-72,0
31,RL,1,50,4,-74,-72,-80,8
31,RL,1,50,10,-77.4,-72,-88,16
31,RL,1,50,3,-76.3333333333333,-72,-80,8
31,RL,0,50,2,-78.5,-77,-80,3
31,RL,1,50,6,-79.5,-74,-88,14
31,RL,1,50,8,-77.5,-73,-88,15
31,RL,1,50,4,-78.25,-74,-88,14
31,RL,0,50,1,-76,-76,-76,0
31,RL,1,50,7,-71.4285714285714,-67,-74,7
31,RL,1,50,10,-71.2,-67,-75,8
31,RL,1,50,10,-71,-67,-75,8
31,RL,1,50,6,-70.6666666666667,-67,-72,5
31,RL,1,50,3,-69.3333333333333,-67,-72,5
31,RL,1,50,5,-70.2,-67,-72,5
31,RL,0,50,1,-72,-72,-72,0
31,RL,1,50,4,-71.75,-68,-75,7
31,RL,1,50,6,-73,-68,-76,8
31,RL,1,50,9,-73.7777777777778,-68,-76,8
31,RL,1,50,3,-74.3333333333333,-72,-76,4
31,RL,0,50,1,-76,-76,-76,0
31,RL,1,50,8,-73.375,-70,-76,6
31,RL,1,50,8,-73.25,-70,-76,6
31,RL,1,50,4,-73.5,-71,-76,5
31,RL,1,50,6,-72.6666666666667,-70,-76,6
31,RL,1,50,4,-72,-70,-74,4
31,RL,1,50,8,-72.75,-69,-76,7
31,RL,1,50,9,-72.2222222222222,-69,-76,7
31,RL,1,50,7,-72.5714285714286,-69,-76,7
31,RL,1,50,7,-71.8571428571429,-69,-76,7
31,RL,1,50,6,-71.6666666666667,-69,-76,7
31,RL,1,50,3,-72.6666666666667,-69,-76,7
31,RL,1,50,6,-73.3333333333333,-69,-81,12
31,RL,1,50,8,-72.75,-69,-81,12
31,RL,1,50,3,-73,-69,-81,12
31,RL,1,50,8,-73.375,-69,-81,12
31,RL,1,50,5,-75,-69,-81,12
31,RL,1,50,10,-72.1,-69,-79,10
31,RL,1,50,4,-71.75,-69,-74,5
31,RL,1,50,10,-70.8,-69,-74,5
31,RL,1,50,6,-70.6666666666667,-69,-72,3
31,RL,1,50,8,-70.625,-69,-72,3
31,RL,1,50,10,-71.2,-69,-74,5
31,RL,1,50,10,-71.2,-69,-74,5
31,RL,0,50,2,-71.5,-71,-72,1
31,RL,1,50,3,-69,-69,-69,0
31,RL,1,50,5,-72,-69,-74,5
31,RL,1,50,3,-73.6666666666667,-73,-74,1
31,RL,1,50,10,-72.2,-69,-76,7
31,RL,1,50,4,-72.5,-70,-74,4
31,RL,0,50,1,-74,-74,-74,0
31,RL,1,50,5,-72.2,-69,-76,7
31,RL,1,50,7,-71.8571428571429,-69,-76,7
31,RL,0,50,1,-76,-76,-76,0
31,RL,1,50,6,-72.1666666666667,-70,-75,5
31,RL,1,50,5,-72.2,-70,-75,5
31,RL,0,50,1,-70,-70,-70,0
31,RL,0,50,1,-75,-75,-75,0
31,RL,1,50,4,-72.5,-68,-75,7
31,RL,1,50,7,-72.4285714285714,-68,-75,7
31,RL,0,50,2,-71,-68,-74,6
31,RL,0,50,1,-74,-74,-74,0
31,RL,1,50,6,-72.8333333333333,-68,-77,9
31,RL,1,50,7,-73.2857142857143,-68,-77,9
31,RL,1,50,4,-72.75,-68,-77,9
31,RL,1,50,9,-73.1111111111111,-68,-77,9
31,RL,1,50,4,-73.25,-72,-77,5
31,RL,1,50,9,-73,-71,-76,5
31,RL,0,50,1,-72,-72,-72,0
31,RL,1,50,9,-73.6666666666667,-71,-76,5
31,RL,1,50,4,-74.25,-73,-76,3
31,RL,1,50,4,-73.5,-73,-74,1
31,RL,1,50,3,-73.3333333333333,-73,-74,1
31,RL,1,50,3,-72.3333333333333,-71,-73,2
31,RL,1,50,9,-73.2222222222222,-71,-75,4
31,RL,1,50,3,-73.6666666666667,-71,-75,4
31,RL,1,50,5,-73.2,-71,-75,4
31,RL,1,50,7,-73.4285714285714,-71,-75,4
31,RL,1,50,10,-72.5,-70,-75,5
31,RL,1,50,10,-72.6,-70,-75,5
31,RL,0,50,1,-75,-75,-75,0
31,RL,1,50,10,-72.5,-70,-76,6
31,RL,1,50,4,-72,-70,-74,4
31,RL,0,50,1,-72,-72,-72,0
31,RL,1,50,3,-71.3333333333333,-70,-72,2
31,RL,0,50,1,-70,-70,-70,0
31,RL,1,50,7,-73,-71,-76,5
31,RL,1,50,9,-72.3333333333333,-70,-76,6
31,RL,1,50,3,-73,-71,-76,5
31,RL,1,50,7,-72.5714285714286,-70,-76,6
31,RL,1,50,9,-72,-70,-76,6
31,RL,1,50,6,-71.3333333333333,-70,-74,4
31,RL,1,50,5,-71.6,-70,-74,4
31,RL,1,50,7,-72,-70,-74,4
31,RL,1,50,4,-72,-70,-74,4
31,RL,1,50,3,-72.6666666666667,-72,-74,2
31,RL,1,50,6,-72.6666666666667,-72,-74,2
31,RL,1,50,5,-72.8,-72,-74,2
31,RL,1,50,10,-72.6,-69,-76,7
31,RL,0,50,1,-72,-72,-72,0
31,RL,1,50,3,-73.3333333333333,-72,-74,2
31,RL,0,50,2,-74,-74,-74,0
31,RL,1,50,9,-72.1111111111111,-69,-76,7
31,RL,1,50,4,-72,-69,-76,7
31,RL,1,50,6,-71.6666666666667,-69,-76,7
31,RL,1,50,9,-72.4444444444444,-69,-76,7
31,RL,0,50,1,-71,-71,-71,0
31,RL,1,50,9,-72.8888888888889,-71,-75,4
31,RL,0,50,1,-74,-74,-74,0
31,RL,1,50,6,-73.5,-72,-77,5
31,RL,1,50,9,-73.5555555555556,-71,-77,6
